pn_id,daimeter_id,od_min,od_mx,ovality_max,COIL,wt_min,wt_ave,wt_ax,pipe_id,prod_value
4,1000,1000,1009,0,18000,47.7,50.09,52.47,899.83,142.74
5,25,25,25.3,1.2,450,1.6,1.68,1.76,21.64,0.12
5,32,32,32.3,1.3,576,2,2.1,2.2,27.8,0.19
5,40,40,40.4,1.4,720,2.4,2.52,2.64,34.96,0.28
5,50,50,50.4,1.4,900,3,3.15,3.3,43.7,0.44
5,63,63,63.4,1.5,1134,3.8,3.99,4.18,55.02,0.71
5,75,75,75.5,1.6,1350,4.5,4.73,4.95,65.55,1.00
5,90,90,90.6,1.8,1620,5.4,5.67,5.94,78.66,1.43
5,110,110,110.7,2.2,1980,6.6,6.93,7.26,96.14,2.14
5,125,125,125.8,2.5,2250,7.4,7.77,8.14,109.46,2.73
5,140,140,140.9,2.8,2520,8.3,8.72,9.13,122.57,3.43
5,160,160,161,3.2,2880,9.5,9.98,10.45,140.05,4.49
5,180,180,181.1,3.6,3240,10.7,11.24,11.77,157.53,5.69
5,200,200,201.2,4,3600,11.9,12.5,13.09,175.01,7.03
5,225,225,226.4,4.5,4050,13.4,14.07,14.74,196.86,8.90
5,250,250,251.5,5,4500,14.8,15.54,16.28,218.92,10.93
5,280,280,281.7,9.8,5040,16.6,17.43,18.26,245.14,13.73
5,315,315,316.9,11.1,5670,18.7,19.64,20.57,275.73,17.40
5,355,355,357.2,12.5,6390,21.1,22.16,23.21,310.69,22.12
5,400,400,402.4,14,7200,23.7,24.89,26.07,350.23,28.01
5,450,450,452.7,15.6,8100,26.7,28.04,29.37,393.93,35.49
5,500,500,503,17.5,9000,29.7,31.19,32.67,437.63,43.86
5,560,560,563.4,19.6,10080,33.2,34.86,36.52,490.28,54.92
5,630,630,633.8,22.1,11340,37.4,39.27,41.14,551.46,69.60
5,710,710,716.4,0,12780,42.1,44.21,46.31,621.59,88.30
5,800,800,807.2,0,14400,47.4,49.77,52.14,700.46,112.03
5,900,900,908.1,0,16200,53.3,55.97,58.63,788.07,141.72
5,1000,1000,1009,0,18000,59.3,62.27,65.23,875.47,175.18
6,20,20,20.3,1.2,360,1.6,1.68,1.76,16.64,0.09
6,25,25,25.3,1.2,450,2,2.1,2.2,20.8,0.14
6,32,32,32.3,1.3,576,2.4,2.52,2.64,26.96,0.22
6,40,40,40.4,1.4,720,3,3.15,3.3,33.7,0.35
6,50,50,50.4,1.4,900,3.7,3.89,4.07,42.23,0.54
6,63,63,63.4,1.5,1134,4.7,4.94,5.17,53.13,0.86
6,75,75,75.5,1.6,1350,5.6,5.88,6.16,63.24,1.22
6,90,90,90.6,1.8,1620,6.7,7.04,7.37,75.93,1.75
6,110,110,110.7,2.2,1980,8.1,8.51,8.91,92.99,2.59
6,125,125,125.8,2.5,2250,9.2,9.66,10.12,105.68,3.34
6,140,140,140.9,2.8,2520,10.3,10.82,11.33,118.37,4.19
6,160,160,161,3.2,2880,11.8,12.39,12.98,135.22,5.49
6,180,180,181.1,3.6,3240,13.3,13.97,14.63,152.07,6.96
6,200,200,201.2,4,3600,14.7,15.44,16.17,169.13,8.55
6,225,225,226.4,4.5,4050,16.6,17.43,18.26,190.14,10.85
6,250,250,251.5,5,4500,18.4,19.32,20.24,211.36,13.37
6,280,280,281.7,9.8,5040,20.6,21.63,22.66,236.74,16.77
6,315,315,316.9,11.1,5670,23.2,24.36,25.52,266.28,21.24
6,355,355,357.2,12.5,6390,26.1,27.41,28.71,300.19,26.94
6,400,400,402.4,14,7200,29.4,30.87,32.34,338.26,34.19
6,450,450,452.7,15.6,8100,33.1,34.76,36.41,380.49,43.30
6,500,500,503,17.5,9000,36.8,38.64,40.48,422.72,53.48
6,560,560,563.4,19.6,10080,41.2,43.26,45.32,473.48,67.07
6,630,630,633.8,22.1,11340,46.3,48.62,50.93,532.77,84.80
6,710,710,716.4,0,12780,52.2,54.81,57.42,600.38,107.74
6,800,800,807.2,0,14400,58.8,61.74,64.68,676.52,136.75
6,900,900,908.1,0,16200,66.2,69.51,72.82,760.98,173.19
