productid,class_name,diameter,quote_weight,backup_quote_weight,New Quote Weight,production_weight,New KL,,Quote vs production,,,,
187,PN25,75,2.08,2.11,2.12,2.08,2.125,,-1.49%,,,,
188,PN25,90,2.99,3.02,3.03,2.99,3.044,,-1.14%,,,,
189,PN25,110,4.48,4.53,4.54,4.48,4.561,,-1.16%,,,,
190,PN25,125,5.77,5.83,5.84,5.77,5.870,,-1.07%,,,,
191,PN25,140,7.25,7.33,7.33,7.25,7.374,,-1.05%,,,,
192,PN25,160,9.45,9.54,9.54,9.45,9.597,,-0.90%,,,,
193,PN25,180,11.95,12.06,12.06,11.95,12.133,,-0.88%,,,,
194,PN25,200,14.78,14.91,14.92,14.78,15.010,,-0.90%,,,,
195,PN25,225,18.69,18.85,18.85,18.69,18.972,,-0.85%,,,,
196,PN25,250,23.07,23.27,23.27,23.07,23.419,,-0.86%,,,,
197,PN25,280,28.93,29.18,29.18,28.93,29.366,,-0.85%,,,,
198,PN25,315,36.62,36.93,36.94,36.62,37.173,,-0.85%,,,,
199,PN25,355,46.46,46.83,46.83,46.46,47.134,,-0.80%,,,,
200,PN25,400,59.03,59.48,59.48,59.03,59.866,,-0.76%,,,,
201,PN25,450,74.67,75.24,75.25,74.67,75.731,,-0.77%,,,,
202,PN34,16,NULL,0.13,0.13,NULL,0.126,,#VALUE!,,,,
203,PN34,20,NULL,0.18,0.19,NULL,0.182,,#VALUE!,,,,
204,PN34,25,NULL,0.28,0.28,NULL,0.277,,#VALUE!,,,,
205,PN34,32,NULL,0.46,0.46,NULL,0.460,,#VALUE!,,,,
206,PN34,40,NULL,0.71,0.71,NULL,0.712,,#VALUE!,,,,
207,PN34,50,NULL,1.10,1.1,NULL,1.103,,#VALUE!,,,,
208,PN34,63,NULL,1.74,1.75,NULL,1.752,,#VALUE!,,,,
209,PN34,75,NULL,2.47,2.47,NULL,2.481,,#VALUE!,,,,
210,PN34,90,NULL,3.55,3.56,NULL,3.574,,#VALUE!,,,,
211,PN34,110,NULL,5.29,5.29,NULL,5.323,,#VALUE!,,,,
212,PN34,125,NULL,6.82,6.83,NULL,6.866,,#VALUE!,,,,
213,PN34,140,NULL,8.56,8.57,NULL,8.619,,#VALUE!,,,,
214,PN34,160,NULL,11.17,11.17,NULL,11.239,,#VALUE!,,,,
215,PN34,180,NULL,14.11,14.12,NULL,14.205,,#VALUE!,,,,
216,PN34,200,NULL,17.42,17.43,NULL,17.537,,#VALUE!,,,,
217,PN34,225,NULL,22.07,22.07,NULL,22.212,,#VALUE!,,,,
218,PN34,250,NULL,27.21,27.21,NULL,27.384,,#VALUE!,,,,
219,PN34,280,NULL,34.14,34.14,NULL,34.358,,#VALUE!,,,,
220,PN34,315,NULL,43.20,43.2,NULL,43.476,,#VALUE!,,,,
221,PN34,355,NULL,54.88,54.88,NULL,55.235,,#VALUE!,,,,
222,PN16,16,0.07,0.08,0.08,0.07,0.081,,-14.29%,,,,
223,PN4,200,3.01,4.66,4.66,3.01,4.690,,-54.82%,,,,
224,PN4,50,0.24,0.24,0.24,0.24,0.242,,0.00%,,,,
225,PN6,105,1.4,1.40,1.4,1.4,1.409,,0.00%,,,,
226,PN12.5,20,0.09,0.09,0.09,0.09,0.091,,0.00%,,,,
227,PN10,25,0.12,0.12,0.12,0.12,0.121,,0.00%,,,,
228,PN6,32,0.15,0.15,0.15,0.15,0.151,,0.00%,,,,
229,PN6,40,0.19,0.19,0.19,0.19,0.191,,0.00%,,,,
230,PN8,32,0.16,0.16,0.16,0.16,0.161,,0.00%,,,,
231,PN8,40,0.24,0.24,0.24,0.24,0.242,,0.00%,,,,
232,PN10,25,0.12,0.12,0.12,0.12,0.121,,0.00%,,,,
233,PN10,32,0.19,0.19,0.19,0.19,0.191,,0.00%,,,,
